epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2077,1.69507,12.7627,0.02899,0.39142,0.36751,0.2506,0.14344,1.40913,14.0328,0.03631,3.334e-05,3.334e-05,3.334e-05
2,17.2368,1.6714,11.801,0.02974,0.31612,0.38095,0.2305,0.13222,1.26686,14.1429,0.03352,8.27606e-05,8.27606e-05,8.27606e-05
3,21.5011,1.75001,16.6124,0.03941,0.36264,0.45238,0.28678,0.15419,1.23496,13.6931,0.033,0.000131474,0.000131474,0.000131474
4,28.0281,1.49827,9.25574,0.02639,0.55997,0.4494,0.53109,0.38527,0.86686,12.529,0.02296,0.00017948,0.00017948,0.00017948
5,33.7855,1.35893,7.29137,0.02364,0.67154,0.45122,0.41103,0.28936,1.23254,13.7232,0.03555,0.000226779,0.000226779,0.000226779
6,40.5118,1.25995,6.66708,0.02226,0.21342,0.54779,0.32084,0.20075,1.15019,13.8527,0.03204,0.00027337,0.00027337,0.00027337
7,47.0644,1.34624,6.27898,0.02173,0.42157,0.30952,0.39242,0.2753,1.18763,13.1643,0.03359,0.000319254,0.000319254,0.000319254
8,54.719,1.14008,5.05439,0.02086,0.59883,0.30952,0.44625,0.34425,1.00282,12.2001,0.02985,0.000364431,0.000364431,0.000364431
9,61.6783,1.35743,5.32324,0.02506,0.52354,0.69048,0.65563,0.48561,1.05726,10.8883,0.0316,0.000408901,0.000408901,0.000408901
10,67.0461,1.19712,4.45101,0.02183,0.55175,0.61905,0.62152,0.43188,1.18591,10.8467,0.03163,0.000452663,0.000452663,0.000452663
11,72.6403,1.13254,3.94719,0.01987,0.34737,0.77921,0.5271,0.32527,1.15323,10.6271,0.03014,0.000495718,0.000495718,0.000495718
12,78.0697,1.31295,4.24039,0.02168,0.33287,0.69048,0.49396,0.27401,1.48686,9.80389,0.04237,0.000538066,0.000538066,0.000538066
13,83.7207,1.53908,3.80113,0.03192,0.47248,0.52381,0.44057,0.23196,1.60235,7.0354,0.0489,0.000579706,0.000579706,0.000579706
14,89.1857,1.39426,3.46877,0.02544,0.76733,0.5,0.39284,0.2201,1.44908,5.83904,0.04245,0.00062064,0.00062064,0.00062064
15,94.9071,1.39611,3.37034,0.02532,0.50028,0.66667,0.52628,0.25423,1.76045,3.70783,0.05304,0.000660865,0.000660865,0.000660865
16,100.54,1.54219,2.78608,0.02916,0.32974,0.70254,0.5264,0.22131,1.74384,3.25731,0.0495,0.000700384,0.000700384,0.000700384
17,106.355,1.56255,3.03936,0.02887,0.25288,0.4671,0.26876,0.10582,1.60706,3.94357,0.04572,0.000739195,0.000739195,0.000739195
18,111.756,1.34599,3.05826,0.0232,0.17903,0.28571,0.22147,0.10961,1.51951,3.39666,0.04505,0.000777299,0.000777299,0.000777299
19,117.269,1.29169,2.32531,0.02455,0.79942,0.2381,0.3818,0.10446,1.72337,2.97991,0.05054,0.000814696,0.000814696,0.000814696
20,122.845,1.36706,2.35748,0.02666,0.57752,0.45238,0.54214,0.23258,1.48886,2.63834,0.04317,0.000851386,0.000851386,0.000851386
21,128.485,1.42192,2.21269,0.02348,0.49733,0.52381,0.56231,0.25716,1.63285,2.44275,0.04769,0.000887368,0.000887368,0.000887368
22,134.648,1.47069,2.38083,0.02897,0.63424,0.42857,0.50529,0.1599,1.72456,2.71338,0.05689,0.000922643,0.000922643,0.000922643
23,140.36,1.58931,1.68308,0.03173,0.96551,0.21429,0.287,0.15515,1.40773,2.92419,0.04669,0.00095721,0.00095721,0.00095721
24,146.247,1.67363,2.1055,0.03061,0.08155,0.28571,0.22331,0.14335,1.51022,2.56666,0.05327,0.000991071,0.000991071,0.000991071
25,152.369,1.66379,2.02334,0.03189,0.38228,0.52381,0.50322,0.21542,2.03161,2.4023,0.06671,0.00102422,0.00102422,0.00102422
26,157.827,1.81547,1.67765,0.04436,0.49507,0.45099,0.38227,0.17603,1.7951,2.22243,0.05573,0.00105667,0.00105667,0.00105667
27,162.726,1.70921,1.83276,0.03277,0.72524,0.42857,0.5062,0.21544,2.11154,2.09323,0.06514,0.00108841,0.00108841,0.00108841
28,167.601,1.6153,1.88222,0.03167,0.46427,0.35485,0.33972,0.16996,1.67581,2.7321,0.05431,0.00111944,0.00111944,0.00111944
29,172.457,1.57602,1.85608,0.03136,0.46427,0.35485,0.33972,0.16996,1.67581,2.7321,0.05431,0.00114976,0.00114976,0.00114976
30,177.815,1.53567,1.52152,0.03056,0.52451,0.54762,0.50469,0.13837,2.36388,2.71316,0.07288,0.00117938,0.00117938,0.00117938
31,182.567,1.5252,1.63478,0.02932,0.41616,0.73429,0.4922,0.13941,2.93905,2.50394,0.0982,0.00120829,0.00120829,0.00120829
32,187.992,1.3911,1.47565,0.03037,0.47346,0.71429,0.5651,0.20026,2.38687,2.08395,0.07718,0.00123649,0.00123649,0.00123649
33,193.348,1.4351,1.87982,0.0285,0.47346,0.71429,0.5651,0.20026,2.38687,2.08395,0.07718,0.00126399,0.00126399,0.00126399
34,198.843,1.42855,1.5438,0.02558,0.43955,0.78571,0.63324,0.20023,2.19699,1.97575,0.06961,0.00127799,0.00127799,0.00127799
35,203.808,1.4589,1.59509,0.02702,0.23411,0.38095,0.23666,0.07989,1.92771,2.76024,0.05982,0.00126621,0.00126621,0.00126621
36,208.918,1.54052,1.65175,0.02713,0.40116,0.40261,0.44143,0.1167,1.97983,2.76401,0.06222,0.00125442,0.00125442,0.00125442
37,213.902,1.58797,1.46068,0.02843,0.40116,0.40261,0.44143,0.1167,1.97983,2.76401,0.06222,0.00124263,0.00124263,0.00124263
38,219.728,1.52024,1.65213,0.03233,0.7854,0.32036,0.53435,0.18399,1.8497,2.05852,0.05403,0.00123084,0.00123084,0.00123084
