epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.85922,1.69507,12.7627,0.02899,0.39142,0.36751,0.2506,0.14344,1.40913,14.0328,0.03631,3.334e-05,3.334e-05,3.334e-05
2,13.1331,1.6714,11.801,0.02974,0.31612,0.38095,0.2305,0.13222,1.26686,14.1429,0.03352,8.27999e-05,8.27999e-05,8.27999e-05
3,17.0072,1.75128,16.6176,0.03948,0.35581,0.45238,0.25989,0.14508,1.22819,13.6804,0.0325,0.0001316,0.0001316,0.0001316
4,21.919,1.50143,9.19689,0.0259,0.60443,0.29628,0.44788,0.3235,0.90905,12.5743,0.02519,0.000179739,0.000179739,0.000179739
5,26.8411,1.38981,7.37385,0.02457,0.46411,0.53853,0.50679,0.37646,0.89454,12.3405,0.02456,0.000227219,0.000227219,0.000227219
6,31.7008,1.19237,6.81778,0.02223,0.38817,0.5686,0.39673,0.22101,1.05012,12.8795,0.02966,0.000274038,0.000274038,0.000274038
7,36.6026,1.34214,6.32516,0.02037,0.34073,0.4548,0.47093,0.3089,1.33124,11.9789,0.03616,0.000320197,0.000320197,0.000320197
8,41.3326,1.21042,5.20653,0.02109,0.43082,0.61905,0.5581,0.35835,1.14122,11.3978,0.03165,0.000365696,0.000365696,0.000365696
9,45.7021,1.37546,5.46015,0.02463,0.33927,0.71429,0.44251,0.28532,1.06515,10.3464,0.02762,0.000410535,0.000410535,0.000410535
10,50.4628,1.29526,4.60478,0.02193,0.49354,0.60734,0.61389,0.39558,1.09357,9.80158,0.02799,0.000454714,0.000454714,0.000454714
11,55.4845,1.22846,4.10391,0.02563,0.96009,0.60936,0.80323,0.50252,1.36471,8.23734,0.03691,0.000498233,0.000498233,0.000498233
12,60.2704,1.32348,4.36255,0.02334,0.50886,0.73301,0.60183,0.36407,1.54492,7.52802,0.04765,0.000541092,0.000541092,0.000541092
13,64.5702,1.40756,3.67695,0.02737,0.56718,0.59371,0.76158,0.45478,1.37028,5.07418,0.04116,0.00058329,0.00058329,0.00058329
14,69.3675,1.24382,3.11415,0.02303,0.64971,0.54574,0.63273,0.35474,1.6282,4.47569,0.04473,0.000624828,0.000624828,0.000624828
15,74.2263,1.34203,3.11628,0.02506,0.67765,0.46845,0.58671,0.32441,1.81386,3.09216,0.04865,0.000665706,0.000665706,0.000665706
16,78.8939,1.3823,2.68468,0.02562,0.64067,0.40476,0.62631,0.32807,1.93312,3.36621,0.05727,0.000705924,0.000705924,0.000705924
17,83.2911,1.6926,2.85409,0.03159,0.93943,0.41349,0.61706,0.23829,1.83533,4.0294,0.05407,0.000745482,0.000745482,0.000745482
18,88.0773,1.38207,2.34599,0.02741,0.59806,0.40476,0.41228,0.15238,1.81482,3.63019,0.04982,0.00078438,0.00078438,0.00078438
19,92.2808,1.33613,2.15086,0.02618,0.54696,0.40476,0.38294,0.19012,1.95462,3.7941,0.05734,0.000822618,0.000822618,0.000822618
20,96.4802,1.52216,2.2542,0.03104,0.85454,0.16667,0.25036,0.12675,1.80163,4.23165,0.05813,0.000860195,0.000860195,0.000860195
21,101.172,1.35278,2.08729,0.02152,0.64465,0.33333,0.2277,0.09469,1.80709,3.60371,0.05521,0.000897113,0.000897113,0.000897113
22,105.414,1.59521,2.09166,0.0298,0.90731,0.16667,0.25777,0.1126,1.82556,3.56788,0.05895,0.00093337,0.00093337,0.00093337
23,109.635,1.29759,1.96727,0.02441,0.73981,0.16667,0.14694,0.06793,2.43343,3.48406,0.07595,0.000968967,0.000968967,0.000968967
24,114.365,1.50412,1.96191,0.02898,0.28446,0.30952,0.21654,0.07363,2.80245,2.94369,0.09953,0.0010039,0.0010039,0.0010039
25,119.073,1.60862,1.98603,0.03566,0.21593,0.26326,0.1499,0.0534,2.70711,3.47408,0.1008,0.00103818,0.00103818,0.00103818
26,123.304,1.60231,1.94363,0.03789,0.19674,0.54762,0.21838,0.05137,2.3307,3.27663,0.0803,0.0010718,0.0010718,0.0010718
27,127.556,1.26956,1.99104,0.02352,0.29369,0.2381,0.17126,0.06725,2.50773,2.7515,0.08483,0.00110475,0.00110475,0.00110475
28,132.682,1.70186,1.83573,0.03307,0.21695,0.2381,0.15734,0.06356,1.77837,2.94671,0.05345,0.00113705,0.00113705,0.00113705
29,137.144,1.63313,1.83683,0.03164,0.21695,0.2381,0.15734,0.06356,1.77837,2.94671,0.05345,0.00116869,0.00116869,0.00116869
30,141.258,1.61764,1.71132,0.03205,0.4672,0.46121,0.66622,0.33567,1.82183,1.87208,0.06394,0.00119966,0.00119966,0.00119966
31,145.432,1.54028,1.75414,0.03144,0.37468,0.38095,0.49435,0.21036,1.99486,2.01041,0.0665,0.00122998,0.00122998,0.00122998
32,149.571,1.65242,1.45032,0.03707,0.71421,0.38095,0.52463,0.33097,1.42042,2.02619,0.04247,0.00125964,0.00125964,0.00125964
33,153.638,1.36271,1.56191,0.02466,0.71421,0.38095,0.52463,0.33097,1.42042,2.02619,0.04247,0.00128863,0.00128863,0.00128863
34,157.818,1.47585,1.45313,0.02662,0.86772,0.36577,0.56337,0.30238,1.51919,1.95196,0.04598,0.00130393,0.00130393,0.00130393
35,162,1.50938,1.57492,0.02632,0.59835,0.42663,0.6544,0.37021,1.39928,2.00654,0.04274,0.00129293,0.00129293,0.00129293
36,166.116,1.46317,1.59424,0.02532,1,0.31985,0.64401,0.30981,1.58647,2.15083,0.0483,0.00128192,0.00128192,0.00128192
37,170.146,1.60316,1.52762,0.02749,1,0.31985,0.64401,0.30981,1.58647,2.15083,0.0483,0.00127092,0.00127092,0.00127092
38,174.352,1.6412,1.70098,0.03297,0.67839,0.54762,0.6458,0.21977,1.88951,1.89866,0.05839,0.00125992,0.00125992,0.00125992
39,178.544,1.70812,1.43719,0.02929,0.59334,0.45238,0.52815,0.15079,1.99507,1.99745,0.06804,0.00124892,0.00124892,0.00124892
40,182.72,1.41619,1.213,0.03091,0.67973,0.38095,0.48516,0.16863,1.85586,2.09304,0.06248,0.00123791,0.00123791,0.00123791
41,186.779,1.68232,1.53816,0.0286,0.67973,0.38095,0.48516,0.16863,1.85586,2.09304,0.06248,0.00122691,0.00122691,0.00122691
42,190.968,1.56111,1.42214,0.03257,0.62331,0.46221,0.53925,0.28944,1.63153,1.7086,0.04782,0.00121591,0.00121591,0.00121591
43,195.227,1.46167,1.33921,0.02916,0.83894,0.59524,0.62733,0.34583,1.63649,1.36744,0.05197,0.00120491,0.00120491,0.00120491
44,199.409,1.45343,1.52178,0.02879,0.43571,0.66062,0.60552,0.32301,1.76811,1.63057,0.05759,0.00119391,0.00119391,0.00119391
45,203.508,1.32623,1.57149,0.02557,0.43571,0.66062,0.60552,0.32301,1.76811,1.63057,0.05759,0.0011829,0.0011829,0.0011829
46,207.681,1.20941,1.04167,0.02075,0.7325,0.5842,0.67168,0.34915,1.7129,1.91878,0.05514,0.0011719,0.0011719,0.0011719
47,211.886,1.33108,1.25166,0.02734,0.84151,0.45238,0.66964,0.31877,1.48773,1.52269,0.0429,0.0011609,0.0011609,0.0011609
48,216.028,1.35702,1.33232,0.02473,0.52788,0.6675,0.5669,0.30486,1.43488,1.74788,0.04205,0.0011499,0.0011499,0.0011499
49,220.118,1.49019,1.53479,0.02947,0.52788,0.6675,0.5669,0.30486,1.43488,1.74788,0.04205,0.00113889,0.00113889,0.00113889
50,224.298,1.45057,1.38444,0.02551,0.5489,0.69048,0.73147,0.37739,1.4892,1.4478,0.04312,0.00112789,0.00112789,0.00112789
51,228.389,1.4797,1.26767,0.02477,0.61419,0.69048,0.70101,0.34019,1.84326,1.53611,0.06063,0.00111689,0.00111689,0.00111689
52,232.514,1.57151,1.1753,0.03384,0.62742,0.56243,0.77838,0.24747,1.8128,1.87771,0.05971,0.00110589,0.00110589,0.00110589
53,236.553,1.38094,1.10352,0.02635,0.62742,0.56243,0.77838,0.24747,1.8128,1.87771,0.05971,0.00109489,0.00109489,0.00109489
54,240.739,1.52402,0.96387,0.02632,0.57524,0.58874,0.6705,0.27131,1.79447,1.44726,0.05402,0.00108388,0.00108388,0.00108388
55,244.862,1.4113,1.32356,0.02437,0.43597,0.5673,0.50634,0.2371,1.75255,1.50042,0.05305,0.00107288,0.00107288,0.00107288
56,249.026,1.43724,1.37264,0.02351,0.63416,0.40476,0.54598,0.20597,2.28179,1.73293,0.06684,0.00106188,0.00106188,0.00106188
57,253.058,1.43848,1.0162,0.02656,0.63416,0.40476,0.54598,0.20597,2.28179,1.73293,0.06684,0.00105088,0.00105088,0.00105088
58,257.231,1.31389,1.22141,0.02329,0.49946,0.45901,0.50065,0.27634,1.95463,1.82365,0.05397,0.00103987,0.00103987,0.00103987
59,261.468,1.18101,1.05458,0.01884,0.505,0.78571,0.753,0.28934,2.03678,1.6269,0.05996,0.00102887,0.00102887,0.00102887
60,265.685,1.05686,0.98442,0.0198,0.73842,0.92857,0.89786,0.35861,1.90639,1.41578,0.05378,0.00101787,0.00101787,0.00101787
61,269.735,1.15728,0.92645,0.01929,0.73842,0.92857,0.89786,0.35861,1.90639,1.41578,0.05378,0.00100687,0.00100687,0.00100687
62,273.921,1.38833,1.14486,0.0261,0.7335,0.85714,0.90783,0.47967,1.47216,1.21811,0.04183,0.000995866,0.000995866,0.000995866
